id,source_type,original_text,category,keywords,importance,action_required,easy_korean,vietnamese,tts_target
147,유치원,졸업사진 촬영 동의서를 제출하지 않으면 촬영이 어렵습니다,제출,졸업사진|동의서,1.0,Y,졸업사진을 찍으려면 동의서를 내야 합니다,,Y
148,초등학교,등하굣길 안전을 위해 횡단보도에서는 반드시 좌우를 살펴보도록 지도해 주세요,건강·안전,교통안전|횡단보도,0.85,Y,횡단보도에서 좌우를 보고 건너도록 알려 주세요,Vui lòng nhắc trẻ nhìn hai bên khi qua đường,Y
149,초등학교,전교임원 후보자는 후보 등록 신청서를 제출해야 합니다,제출,전교임원|후보등록,0.9,Y,전교임원 후보는 신청서를 내야 합니다,,Y
150,유치원,사진 촬영일에는 원복을 입고 등원해 주세요,준비물,사진촬영|원복,0.8,Y,사진 찍는 날 원복을 입혀 주세요,,Y
151,초등학교,감염병 예방을 위해 발열 또는 기침 증상이 있으면 담임교사에게 알려 주세요,건강·안전,감염병|발열|기침,0.9,Y,열이나 기침이 있으면 담임선생님께 알려 주세요,Nếu trẻ sốt hoặc ho vui lòng báo cho giáo viên chủ nhiệm,Y
152,초등학교,알레르기 조사서를 4월 26일까지 학교종이 앱으로 제출해 주세요,제출,알레르기|조사서|학교종이,1.0,Y,4월 26일까지 알레르기 조사서를 앱으로 내 주세요,Vui lòng nộp phiếu khảo sát dị ứng qua ứng dụng trước ngày 26 tháng 4,Y
153,유치원,응급처치 및 귀가 동의서를 반드시 제출해 주세요,제출,응급처치|귀가동의서,1.0,Y,응급처치와 귀가 동의서를 꼭 내 주세요,,Y
154,초등학교,독서 골든벨은 5월 30일 도서관에서 열립니다,일정,독서골든벨|도서관,0.75,N,5월 30일 도서관에서 독서 골든벨이 있습니다,,N
155,초등학교,긴급 연락처가 바뀐 경우 담임교사에게 바로 알려 주세요,제출,긴급연락처|변경,0.95,Y,긴급 연락처가 바뀌면 바로 알려 주세요,,Y
156,유치원,가족 참여 수업 참석 인원을 키즈노트로 알려 주세요,제출,가족참여수업|참석인원,0.9,Y,참석 인원을 키즈노트로 알려 주세요,,Y
157,유치원,생일잔치 사진은 키즈노트 앨범에서 확인할 수 있습니다,기타,생일잔치|사진,0.4,N,생일잔치 사진은 키즈노트에서 볼 수 있습니다,,N
158,유치원,간식 신청 변경은 매월 말일까지 가능합니다,제출,간식|변경신청,0.8,Y,간식 신청 변경은 매월 말일까지 할 수 있습니다,,Y
159,초등학교,학급 단체 사진 구입비는 5000원입니다,비용,단체사진|구입비,0.75,Y,단체 사진 구입비는 5000원입니다,,Y
160,초등학교,사이버폭력 예방 실천 서약서를 금요일까지 제출해 주세요,제출,사이버폭력|서약서,0.95,Y,금요일까지 사이버폭력 예방 서약서를 내 주세요,,Y
161,초등학교,사진 촬영을 원하지 않는 경우 미동의서를 제출해 주세요,제출,사진촬영|미동의서,0.95,Y,사진 촬영을 원하지 않으면 미동의서를 내 주세요,Nếu không muốn chụp ảnh vui lòng nộp giấy không đồng ý,Y
162,초등학교,생존수영 준비물은 수영복 수모 수경 수건입니다,준비물,수영복|수모|수경|수건,0.95,Y,수영복 수모 수경 수건을 준비해 주세요,Vui lòng chuẩn bị đồ bơi mũ bơi kính bơi và khăn,Y
163,유치원,유아 건강검진 결과지를 아직 제출하지 않은 가정은 이번 주까지 제출해 주세요,제출,건강검진|결과지,1.0,Y,이번 주까지 유아 건강검진 결과지를 내 주세요,Vui lòng nộp giấy kết quả khám sức khỏe trẻ em trong tuần này,Y
164,초등학교,재량휴업일 돌봄 수요 조사를 9월 15일까지 제출해 주세요,제출,재량휴업일|돌봄수요,0.95,Y,9월 15일까지 돌봄 수요 조사를 내 주세요,,Y
165,초등학교,졸업앨범 사진 촬영은 10월 11일 금요일에 진행됩니다,일정,졸업앨범|사진촬영,0.85,Y,10월 11일에 졸업앨범 사진을 찍습니다,,Y
166,초등학교,받아쓰기 평가는 매주 수요일에 실시하니 가정에서 복습해 주세요,일정,받아쓰기|평가,0.65,Y,매주 수요일 받아쓰기를 봅니다,Vui lòng ôn tập ở nhà vì kiểm tra chính tả vào thứ Tư hằng tuần,Y
167,초등학교,가정통신문 회신은 학교종이 앱에서 확인 버튼을 눌러 주세요,제출,가정통신문|확인버튼,0.8,Y,앱에서 확인 버튼을 눌러 주세요,,Y
168,초등학교,수학여행 참가비 95000원은 9월 10일 인출 예정입니다,비용,수학여행|참가비,0.9,N,수학여행 참가비 95000원이 9월 10일에 빠져나갑니다,,N
169,초등학교,수학여행 참가 동의서를 8월 30일까지 제출해 주세요,제출,수학여행|동의서,1.0,Y,8월 30일까지 수학여행 동의서를 내 주세요,,Y
170,유치원,여벌옷은 계절에 맞게 속옷까지 포함해 준비해 주세요,준비물,여벌옷|속옷,0.9,Y,계절에 맞는 여벌옷과 속옷을 준비해 주세요,,Y
171,초등학교,여름방학식은 7월 24일 수요일 4교시 후 진행됩니다,일정,여름방학식|7월24일,0.8,N,7월 24일 4교시 후 여름방학식을 합니다,,N
172,초등학교,2학기 전교임원 선거는 8월 30일에 실시됩니다,일정,전교임원|선거,0.75,N,8월 30일에 전교임원 선거가 있습니다,,N
173,초등학교,재활용품 만들기 활동에 우유팩과 신문지가 필요합니다,준비물,재활용품|우유팩|신문지,0.75,Y,우유팩과 신문지를 준비해 주세요,,Y
174,초등학교,학교폭력 예방교육이 5월 첫째 주 각 학급에서 진행됩니다,건강·안전,학교폭력|예방교육,0.65,N,5월 첫째 주에 학교폭력 예방교육을 합니다,Giáo dục phòng chống bạo lực học đường sẽ diễn ra vào tuần đầu tháng 5,N
175,초등학교,수익자부담경비 납부 동의 여부를 알림장에 표시해 주세요,제출,수익자부담경비|동의,0.95,Y,비용 납부 동의 여부를 알림장에 써 주세요,Vui lòng ghi có đồng ý nộp chi phí hay không vào sổ liên lạc,Y
176,초등학교,돌봄교실 귀가 동의서를 반드시 제출해야 이용할 수 있습니다,제출,돌봄교실|귀가동의서,1.0,Y,돌봄교실을 이용하려면 귀가 동의서를 내야 합니다,,Y
177,초등학교,미세먼지 나쁨 예보 시 보건용 마스크를 착용하고 등교해 주세요,건강·안전,미세먼지|마스크,0.85,Y,미세먼지가 나쁜 날에는 마스크를 쓰고 학교에 오세요,Khi bụi mịn ở mức xấu vui lòng cho trẻ đeo khẩu trang đến trường,Y
178,초등학교,휴대전화는 등교 후 전원을 끄고 가방 안에 보관합니다,기타,휴대전화|생활규칙,0.55,N,학교에 오면 휴대전화 전원을 끄고 가방에 넣습니다,Khi đến trường học sinh tắt điện thoại và cất trong cặp,N
179,유치원,현장학습 참가 동의서를 월요일까지 제출해 주세요,제출,현장학습|동의서,1.0,Y,월요일까지 현장학습 동의서를 내 주세요,,Y
180,유치원,수료식은 2월 14일 금요일 오전 10시에 각 교실에서 진행됩니다,일정,수료식|교실,0.85,Y,2월 14일 오전 10시에 수료식이 있습니다,,Y
181,초등학교,녹색어머니회 교통 봉사 신청서를 이번 주 금요일까지 제출해 주세요,제출,녹색어머니회|교통봉사,0.9,Y,이번 주 금요일까지 교통 봉사 신청서를 내 주세요,Vui lòng nộp đơn đăng ký hỗ trợ giao thông trước thứ Sáu tuần này,Y
182,초등학교,교외체험학습 신청은 최소 3일 전에 제출해야 합니다,제출,교외체험학습|신청,1.0,Y,교외체험학습은 3일 전까지 신청해야 합니다,Hoạt động trải nghiệm ngoài trường phải đăng ký trước ít nhất 3 ngày,Y
183,유치원,숲 체험 참가 동의서를 금요일까지 원으로 보내 주세요,제출,숲체험|동의서,1.0,Y,금요일까지 숲 체험 동의서를 보내 주세요,Vui lòng gửi giấy đồng ý tham gia trải nghiệm rừng trước thứ Sáu,Y
184,초등학교,수학 단원평가는 5월 2일 목요일 2교시에 실시됩니다,일정,수학|단원평가,0.7,N,5월 2일 2교시에 수학 단원평가가 있습니다,Bài kiểm tra chương môn toán sẽ diễn ra tiết 2 ngày 2 tháng 5,N
185,초등학교,새 학년 반 배정 결과는 2월 25일 학교 홈페이지에서 확인할 수 있습니다,일정,반배정|홈페이지,0.75,N,2월 25일 학교 홈페이지에서 반을 확인할 수 있습니다,,N
186,초등학교,가족 독서 사진 공모전 작품은 6월 5일까지 제출합니다,제출,독서사진|공모전,0.8,Y,6월 5일까지 가족 독서 사진을 내 주세요,,Y
187,유치원,물놀이 활동은 7월 5일 금요일 유치원 마당에서 진행됩니다,일정,물놀이|7월5일,0.85,Y,7월 5일에 유치원에서 물놀이를 합니다,Hoạt động chơi nước diễn ra ngày 5 tháng 7 tại sân trường mẫu giáo,Y
188,초등학교,양치 교육을 위해 개인 칫솔과 치약을 준비해 주세요,준비물,양치교육|칫솔|치약,0.85,Y,칫솔과 치약을 준비해 주세요,,Y
189,초등학교,주간학습안내는 매주 금요일 학교 홈페이지에 게시됩니다,기타,주간학습안내|홈페이지,0.45,N,주간학습안내는 금요일 홈페이지에 올라옵니다,,N
190,유치원,재난안전교육 후 가정 연계 활동지를 보내 드립니다,기타,재난안전교육|활동지,0.5,N,재난안전 활동지를 집으로 보냅니다,,N
191,유치원,하원 차량 노선 변경 신청은 전날 오후 4시까지 가능합니다,제출,하원차량|노선변경,0.9,Y,차량 노선 변경은 전날 오후 4시까지 신청해 주세요,,Y
192,초등학교,학교운영위원회 학부모위원 선출 안내문을 확인해 주세요,기타,학교운영위원회|학부모위원,0.5,N,학교운영위원회 안내문을 확인해 주세요,,N
193,초등학교,비 오는 날에는 우산에 이름을 써서 보내 주세요,준비물,우산|이름,0.65,Y,우산에 이름을 써서 보내 주세요,,Y
194,초등학교,개인정보 보호를 위해 친구 사진을 허락 없이 온라인에 올리지 않도록 지도해 주세요,건강·안전,개인정보|온라인,0.8,Y,친구 사진을 허락 없이 올리지 않게 알려 주세요,,Y
195,초등학교,학예회는 6월 14일 금요일 강당에서 학년별로 진행됩니다,일정,학예회|강당,0.85,Y,6월 14일 금요일에 학예회가 있습니다,Buổi biểu diễn văn nghệ diễn ra thứ Sáu ngày 14 tháng 6,Y
196,초등학교,소풍 참가비 12000원을 스쿨뱅킹 계좌로 납부해 주세요,비용,소풍비|스쿨뱅킹,0.9,Y,소풍비 12000원을 내 주세요,Vui lòng nộp phí dã ngoại 12000 won,Y
197,유치원,가족 참여 수업은 5월 11일 토요일 오전에 진행됩니다,일정,가족참여수업,0.85,Y,5월 11일 오전에 가족 참여 수업이 있습니다,,Y
198,초등학교,여름철 위생 관리를 위해 개인 손수건을 매일 보내 주세요,준비물,손수건|위생,0.8,Y,개인 손수건을 매일 보내 주세요,,Y
199,초등학교,현장체험학습 장소 변경으로 박물관 대신 과학관에 갑니다,일정,체험학습|장소변경,0.9,N,체험학습 장소가 과학관으로 바뀌었습니다,,N
200,초등학교,교육비 지원 신청 기간은 3월 4일부터 3월 22일까지입니다,일정,교육비지원|신청기간,0.85,Y,3월 4일부터 3월 22일까지 교육비 지원을 신청합니다,,Y
